;familyKey;family;rank
193;8199.0;halammohydridae;family
194;8200.0;halicreatidae;family
195;3352.0;zancleidae;family
196;8202.0;halopterididae;family
197;8203.0;helioporidae;family
198;8204.0;hippopodiidae;family
199;8205.0;hydrichthyidae;family
200;8206.0;ifalukellidae;family
201;8207.0;isididae;family
202;8208.0;kirchenpaueriidae;family
203;8209.0;kishinouyeidae;family
204;6180428.0;magapiidae;family
205;8211.0;laodiceidae;family
206;4880681.0;lithotelestidae;family
207;8213.0;lobonematidae;family
208;8214.0;malagazziidae;family
209;8215.0;mastigiidae;family
210;8216.0;meandrinidae;family
211;8217.0;melicertidae;family
212;8218.0;melithaeidae;family
213;8219.0;merulinidae;family
214;8220.0;gryllacrididae;family
215;8221.0;stenopelmatidae;family
216;8222.0;cooloolidae;family
217;8223.0;rhaphidophoridae;family
218;8224.0;prophalangopsidae;family
219;8225.0;pseudonemasomatidae;family
220;8226.0;rhopaloiulidae;family
221;8227.0;trichoblaniulidae;family
222;8228.0;zosteractiidae;family
223;8229.0;andrognathidae;family
224;8230.0;campodesmidae;family
225;8231.0;chytodesmidae;family
226;8232.0;comodesmidae;family
227;8233.0;cryptodesmidae;family
228;8234.0;dorsoporidae;family
229;8235.0;eurymerodesmidae;family
230;8236.0;haplodesmidae;family
231;8237.0;nearctodesmidae;family
232;8238.0;oniscodesmidae;family
233;8239.0;opisotretidae;family
234;8240.0;oxydesmidae;family
235;8241.0;pyrgodesmidae;family
236;8242.0;rhachodesmidae;family
237;8243.0;stylodesmidae;family
238;8244.0;polyxenidae;family
239;8245.0;synxenidae;family
240;8246.0;siphonotidae;family
241;8247.0;siphonocryptidae;family
242;8248.0;siphonophoridae;family
243;8249.0;siphonorhinidae;family
244;9663.0;zephroniidae;family
245;8251.0;allopocockiidae;family
246;8252.0;atopetholidae;family
247;8253.0;floridobolidae;family
248;8254.0;messicobolidae;family
249;8255.0;pachybolidae;family
250;8256.0;pseudospirobolellidae;family
251;8257.0;rhinocricidae;family
252;8258.0;spirobolellidae;family
253;8259.0;spirobolidae;family
254;8260.0;trigoniulidae;family
255;8261.0;craterostigmidae;family
256;8262.0;tampiyidae;family
257;8263.0;linotaeniidae;family
258;8264.0;aphilodontidae;family
259;8265.0;himantariidae;family
260;8266.0;macronicophilidae;family
261;8267.0;mecistocephalidae;family
262;8268.0;scutigeridae;family
263;8269.0;phaeochoraceae;family
264;8270.0;basidiobolaceae;family
265;8271.0;dimargaritaceae;family
266;8272.0;completoriaceae;family
267;8273.0;meristacraceae;family
268;8274.0;choanephoraceae;family
269;8275.0;cunninghamellaceae;family
270;8276.0;mycotyphaceae;family
271;8277.0;phycomycetaceae;family
272;8278.0;syncephalastraceae;family
273;8279.0;umbelopsidaceae;family
274;8280.0;helicocephalidaceae;family
275;8281.0;rhytismataceae;family
276;8282.0;hyphochytriaceae;family
277;8283.0;liceaceae;family
278;8284.0;rhizidiomycetaceae;family
279;8285.0;anisolpidiaceae;family
280;8286.0;pseudosphaeritaceae;family
281;8287.0;rozellopsidaceae;family
282;8288.0;lagenismataceae;family
283;5854277.0;siboglinidae;family
284;5854277.0;siboglinidae;family
285;5854277.0;siboglinidae;family
286;5854277.0;siboglinidae;family
287;8293.0;pontismataceae;family
288;8294.0;pythiaceae;family
289;8295.0;salilagenidiaceae;family
290;8296.0;lecideaceae;family
291;8297.0;davidiellaceae;family
292;8298.0;meliolaceae;family
293;8299.0;leptopeltidaceae;family
294;8300.0;elsinoaceae;family
295;8301.0;myriangiaceae;family
296;8302.0;stereocaulaceae;family
297;8303.0;sarrameanaceae;family
298;8304.0;patellariaceae;family
299;8305.0;parmeliaceae;family
300;8306.0;diademaceae;family
301;8307.0;leptosphaeriaceae;family
302;8308.0;massarinaceae;family
303;8309.0;melanommataceae;family
304;8310.0;mycoblastaceae;family
305;8311.0;parodiellaceae;family
306;8312.0;phaeosphaeriaceae;family
307;8313.0;phaeotrichaceae;family
308;8314.0;miltideaceae;family
309;8315.0;pleosporaceae;family
310;8316.0;tubeufiaceae;family
311;8317.0;venturiaceae;family
312;8318.0;zopfiaceae;family
313;8319.0;megalariaceae;family
314;8320.0;arachnomycetaceae;family
315;8321.0;chaetothyriaceae;family
316;8322.0;coccodiniaceae;family
317;8323.0;coryneliaceae;family
318;8324.0;trichocomaceae;family
319;8325.0;haematommataceae;family
320;8326.0;massariaceae;family
321;8327.0;gypsoplacaceae;family
322;8328.0;cladoniaceae;family
323;8329.0;requienellaceae;family
324;8330.0;xiphocentronidae;family
325;8331.0;zorotypidae;family
326;8332.0;amathillopsidae;family
327;8333.0;amphilochidae;family
328;8334.0;anapronoidae;family
329;8335.0;argissidae;family
330;8336.0;artesiidae;family
331;4413.0;ampithoidae;family
332;8338.0;adelococcaceae;family
333;8339.0;ceratomycetaceae;family
334;8340.0;pyxidiophoraceae;family
335;8341.0;biatorellaceae;family
336;8342.0;aphanopsidaceae;family
337;8343.0;candelariaceae;family
338;8344.0;trapeliaceae;family
339;8345.0;baeomycetaceae;family
340;8346.0;agyriaceae;family
341;8347.0;acarosporaceae;family
342;8348.0;calycidiaceae;family
343;8349.0;dactylosporaceae;family
344;9716.0;pilocarpaceae;family
345;8351.0;xanthopyreniaceae;family
346;8352.0;pyrenulaceae;family
347;8353.0;celotheliaceae;family
348;8354.0;sphinctrinaceae;family
349;8355.0;dacampiaceae;family
350;8356.0;arthopyreniaceae;family
351;8357.0;tephromelataceae;family
352;8358.0;porpidiaceae;family
353;8359.0;roccellaceae;family
354;8360.0;melaspileaceae;family
355;2176.0;graphidaceae;family
356;8362.0;chrysothricaceae;family
357;8363.0;arthoniaceae;family
358;8364.0;myeloconidiaceae;family
359;8365.0;ophioparmaceae;family
360;8366.0;massalongiaceae;family
361;8367.0;fuscideaceae;family
362;8368.0;teloschistaceae;family
363;8369.0;physciaceae;family
364;8370.0;letrouitiaceae;family
365;8371.0;rhizocarpaceae;family
366;8372.0;icmadophilaceae;family
367;8373.0;peltigeraceae;family
368;8374.0;nephromataceae;family
369;8375.0;lobariaceae;family
370;8376.0;rhizoplacopsidaceae;family
371;8377.0;collemataceae;family
372;8378.0;cyttariaceae;family
373;8379.0;erysiphaceae;family
374;8380.0;geoglossaceae;family
375;8381.0;helotiaceae;family
376;8382.0;hyaloscyphaceae;family
377;8383.0;phacidiaceae;family
378;8384.0;rutstroemiaceae;family
379;8385.0;sclerotiniaceae;family
380;8386.0;vibrisseaceae;family
381;8387.0;bulgariaceae;family
382;8388.0;thelebolaceae;family
383;8389.0;coccocarpiaceae;family
