;genusKey;genus;rank
0;1000002.0;caldisphaera;genus
1;1000004.0;pyrodictium;genus
2;1000008.0;hyperthermus;genus
3;1000010.0;pyrolobus;genus
4;1000012.0;acidilobus;genus
5;1000014.0;ignisphaera;genus
6;1000016.0;thermosphaera;genus
7;1000018.0;stetteria;genus
8;1000020.0;sulfophobococcus;genus
9;1000022.0;desulfurococcus;genus
10;1000027.0;staphylothermus;genus
11;1000030.0;thermodiscus;genus
12;1000032.0;ignicoccus;genus
13;1000035.0;aeropyrum;genus
14;1000038.0;sulfurococcus;genus
15;1000041.0;desulfurolobus;genus
16;1000042.0;sulfurisphaera;genus
17;1000044.0;acidianus;genus
18;1000050.0;sulfolobus;genus
19;1000057.0;metallosphaera;genus
20;1000062.0;stygiolobus;genus
21;1000064.0;thermofilum;genus
22;1000066.0;thermoproteus;genus
23;1000070.0;caldivirga;genus
24;1000072.0;thermocladium;genus
25;1000074.0;pyrobaculum;genus
26;1000080.0;vulcanisaeta;genus
27;1000083.0;ferroplasma;genus
28;1000085.0;picrophilus;genus
29;1000088.0;thermoplasma;genus
30;1000091.0;methanobacterium;genus
31;1000107.0;methanobrevibacter;genus
32;1000122.0;methanothermobacter;genus
33;1000134.0;methanosphaera;genus
34;1000137.0;methanothermus;genus
35;1000140.0;methanococcus;genus
36;1000145.0;methanothermococcus;genus
37;1000149.0;methanotorris;genus
38;1000153.0;methanocaldococcus;genus
39;1000163.0;natronobacterium;genus
40;1000165.0;halococcus;genus
41;1000171.0;halosimplex;genus
42;1000173.0;natrinema;genus
43;1000178.0;natronorubrum;genus
44;1000182.0;halobacterium;genus
45;1000187.0;halobaculum;genus
46;1000189.0;halomicrobium;genus
47;1000206.0;halorubrum;genus
48;1000193.0;halalkalicoccus;genus
49;1000195.0;haloferax;genus
50;1000206.0;halorubrum;genus
51;1000233.0;halovivax;genus
52;1000235.0;halostagnicola;genus
53;1000237.0;natronococcus;genus
54;1000240.0;halobiforma;genus
55;1000245.0;halorhabdus;genus
56;1000247.0;haloarcula;genus
57;1000255.0;haloterrigena;genus
58;1000262.0;natrialba;genus
59;1000270.0;natronomonas;genus
60;1000274.0;natronolimnobius;genus
61;1000277.0;halogeometricum;genus
62;1000279.0;thermococcus;genus
63;1000305.0;palaeococcus;genus
64;1000308.0;pyrococcus;genus
65;1000313.0;archaeoglobus;genus
66;1000317.0;ferroglobus;genus
67;1000319.0;geoglobus;genus
68;1000321.0;methanohalophilus;genus
69;1000326.0;methanococcoides;genus
70;1000330.0;methanomethylovorans;genus
71;1000333.0;methanosarcina;genus
72;1000348.0;methanohalobium;genus
73;1000350.0;methanolobus;genus
74;1000357.0;methanosalsum;genus
75;1000360.0;methanimicrococcus;genus
76;1000362.0;methanothrix;genus
77;1000362.0;methanothrix;genus
78;1000372.0;methanogenium;genus
79;1000373.0;methanocorpusculum;genus
80;1000380.0;methanofollis;genus
81;1000387.0;methanolacinia;genus
82;1000390.0;methanoculleus;genus
83;1000403.0;methanoplanus;genus
84;1000407.0;methanomicrobium;genus
85;1000415.0;methanospirillum;genus
86;1000417.0;methanocalculus;genus
87;1000422.0;methanopyrus;genus
88;1000424.0;pedalion;genus
89;1000425.0;pedalia;genus
90;1000426.0;hexarthra;genus
91;1000452.0;horaella;genus
92;1000456.0;filinia;genus
93;1000456.0;filinia;genus
94;1000486.0;trochosphaera;genus
95;1000456.0;filinia;genus
96;1000491.0;ptygura;genus
97;1000533.0;floscularia;genus
