gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1212531316	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1460981026651rk6PAYlpFkMvC3na							Laura FLAMME			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531316	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1460981053552ifBIzsHyB4DvGadT							Laura FLAMME			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531316	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1460981055029LFVgRvdnDQr62nVh							Laura FLAMME			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531179	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14773161359954hem63OR19gHexY7							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531179	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477316135606oH1iL1yBH5qQEXZn							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531179	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477316136647SvQUxWEURbaFS1Fk							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531178	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477316178456sDG09A9rZh1YOezE							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531178	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477316177621I4kk6IT07neIzrrz							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531178	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/147731617790440jEHqEibNeJvWGB							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531177	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477315985652x9UTnwQmHdIn70gF							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531177	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477315985322LJCcdSVgjccxJrZT							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531177	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1477315983813hCiPwt3rGD3BPCVN							Cécile CALLOU			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531176	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14786866938647hu87rJhDljT9Ec5							Cécile Callou			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531176	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1478686693599AoyvugsfZALyZ6RS							Cécile Callou			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212531176	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1478686692606OQYSl65wovkml5pp							Cécile Callou			http://creativecommons.org/licenses/by-nc-nd/4.0/	
1212530769	StillImage	image/jpeg	https://mediaphoto.mnhn.fr/media/1599574932533WNY6VfwBKuFLOj2B							Plateforme Surfaçus			http://creativecommons.org/licenses/by/4.0/	
